index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
29,inf,0.000000e+00,2.665560e+05,4.398875e-02,-2.215593e+00,-2.215593e+00,4.398875e-02,0.000000e+00,0.000000e+00,-7.084767e-02
30,inf,0.000000e+00,2.054640e+05,3.020154e-02,-2.066520e+00,-2.066520e+00,3.020154e-02,0.000000e+00,0.000000e+00,-6.176599e-02
31,inf,0.000000e+00,1.647300e+06,3.935222e-01,-2.533243e+00,-2.533243e+00,3.935222e-01,0.000000e+00,0.000000e+00,0.000000e+00
32,inf,0.000000e+00,2.034100e+05,2.559059e-02,-1.894302e+00,-1.894302e+00,2.559059e-02,0.000000e+00,0.000000e+00,-6.704382e-02
33,inf,0.000000e+00,2.645420e+05,4.251664e-02,-1.985111e+00,-1.985111e+00,4.251664e-02,0.000000e+00,0.000000e+00,-6.638013e-02
34,inf,0.000000e+00,3.236100e+05,6.158816e-02,-2.005175e+00,-2.005175e+00,6.158816e-02,0.000000e+00,0.000000e+00,-6.153844e-02
35,inf,0.000000e+00,3.693740e+05,8.058047e-02,-2.093343e+00,-2.093343e+00,8.058047e-02,0.000000e+00,0.000000e+00,-5.579032e-02
36,inf,0.000000e+00,4.285740e+05,9.839620e-02,-2.133625e+00,-2.133625e+00,9.839620e-02,0.000000e+00,0.000000e+00,-5.893854e-02
37,inf,0.000000e+00,4.715660e+05,1.199419e-01,-2.066917e+00,-2.066917e+00,1.199419e-01,0.000000e+00,0.000000e+00,-4.672269e-02
38,inf,0.000000e+00,5.148280e+05,1.309762e-01,-2.054018e+00,-2.054018e+00,1.309762e-01,0.000000e+00,0.000000e+00,-4.132342e-02
39,inf,0.000000e+00,5.554480e+05,1.492083e-01,-2.135557e+00,-2.135557e+00,1.492083e-01,0.000000e+00,0.000000e+00,-4.270176e-02
40,inf,0.000000e+00,5.963860e+05,1.640991e-01,-2.049803e+00,-2.049803e+00,1.640991e-01,0.000000e+00,0.000000e+00,-4.125441e-02
41,inf,0.000000e+00,6.174660e+05,1.809111e-01,-2.077566e+00,-2.077566e+00,1.809111e-01,0.000000e+00,0.000000e+00,-3.001184e-02
42,inf,0.000000e+00,6.348160e+05,1.963628e-01,-2.028246e+00,-2.028246e+00,1.963628e-01,0.000000e+00,0.000000e+00,-2.788743e-02
43,inf,0.000000e+00,6.557380e+05,2.084236e-01,-2.032291e+00,-2.032291e+00,2.084236e-01,0.000000e+00,0.000000e+00,-2.618885e-02
44,inf,0.000000e+00,6.520740e+05,2.199201e-01,-2.068960e+00,-2.068960e+00,2.199201e-01,0.000000e+00,0.000000e+00,-2.095370e-02
45,inf,0.000000e+00,6.882400e+05,2.278089e-01,-1.974085e+00,-1.974085e+00,2.278089e-01,0.000000e+00,0.000000e+00,-2.156266e-02
46,inf,0.000000e+00,6.705360e+05,2.427956e-01,-2.015591e+00,-2.015591e+00,2.427956e-01,0.000000e+00,0.000000e+00,-1.124995e-02
47,inf,0.000000e+00,6.684580e+05,2.469038e-01,-1.990372e+00,-1.990372e+00,2.469038e-01,0.000000e+00,0.000000e+00,-1.133778e-02
48,inf,0.000000e+00,6.857820e+05,2.471905e-01,-1.895563e+00,-1.895563e+00,2.471905e-01,0.000000e+00,0.000000e+00,-7.550645e-03
49,inf,0.000000e+00,6.597320e+05,2.621927e-01,-1.831717e+00,-1.831717e+00,2.621927e-01,0.000000e+00,0.000000e+00,-1.002386e-02
50,inf,0.000000e+00,6.453080e+05,2.566059e-01,-1.813319e+00,-1.813319e+00,2.566059e-01,0.000000e+00,0.000000e+00,-4.166126e-03
51,inf,0.000000e+00,6.207980e+05,2.484522e-01,-1.798369e+00,-1.798369e+00,2.484522e-01,0.000000e+00,0.000000e+00,-8.823975e-04
52,inf,0.000000e+00,5.976900e+05,2.493470e-01,-1.760950e+00,-1.760950e+00,2.493470e-01,0.000000e+00,0.000000e+00,-2.178690e-03
53,inf,0.000000e+00,5.833380e+05,2.409492e-01,-1.638653e+00,-1.638653e+00,2.409492e-01,0.000000e+00,0.000000e+00,1.539952e-03
54,inf,0.000000e+00,5.548460e+05,2.379600e-01,-1.567556e+00,-1.567556e+00,2.379600e-01,0.000000e+00,0.000000e+00,6.334676e-03
55,inf,0.000000e+00,5.140480e+05,2.140491e-01,-1.528429e+00,-1.528429e+00,2.140491e-01,0.000000e+00,0.000000e+00,1.021696e-02
56,inf,0.000000e+00,4.715620e+05,1.966917e-01,-1.457888e+00,-1.457888e+00,1.966917e-01,0.000000e+00,0.000000e+00,1.495033e-02
